date,title,category,price,rating
31-03-2026,A Light in the Attic,Poetry,51.77,3
31-03-2026,Tipping the Velvet,Historical Fiction,53.74,1
31-03-2026,Soumission,Fiction,50.1,1
31-03-2026,Sharp Objects,Mystery,47.82,4
31-03-2026,Sapiens: A Brief History of Humankind,History,54.23,5
31-03-2026,The Requiem Red,Young Adult,22.65,1
31-03-2026,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,4
31-03-2026,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,3
31-03-2026,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,4
31-03-2026,The Black Maria,Poetry,52.15,1
31-03-2026,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,2
31-03-2026,Shakespeare's Sonnets,Poetry,20.66,4
31-03-2026,Set Me Free,Young Adult,17.46,5
31-03-2026,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5
31-03-2026,Rip it Up and Start Again,Music,35.02,5
31-03-2026,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,3
31-03-2026,Olio,Poetry,23.88,1
31-03-2026,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,1
31-03-2026,Libertarianism for Beginners,Politics,51.33,2
31-03-2026,It's Only the Himalayas,Travel,45.17,2
31-03-2026,In Her Wake,Thriller,12.84,1
31-03-2026,How Music Works,Music,37.32,2
31-03-2026,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,3
31-03-2026,Chase Me (Paris Nights #2),Romance,25.27,5
31-03-2026,Black Dust,Romance,34.53,5
31-03-2026,Birdsong: A Story in Pictures,Childrens,54.64,3
31-03-2026,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,3
31-03-2026,Aladdin and His Wonderful Lamp,Default,53.13,3
31-03-2026,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,40.3,5
31-03-2026,Wall and Piece,Art,44.18,4
31-03-2026,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,5
31-03-2026,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3
31-03-2026,The Elephant Tree,Thriller,23.82,5
31-03-2026,The Bear and the Piano,Childrens,36.89,1
31-03-2026,Sophie's World,Philosophy,15.94,5
31-03-2026,Penny Maybe,Default,33.29,3
31-03-2026,Maude (1883-1993):She Grew Up with the country,Default,18.02,2
31-03-2026,"In a Dark, Dark Wood",Mystery,19.63,1
31-03-2026,Behind Closed Doors,Thriller,52.22,4
31-03-2026,You can't bury them all: Poems,Poetry,33.63,2
31-03-2026,Slow States of Collapse: Poems,Poetry,57.31,3
31-03-2026,Reasons to Stay Alive,Nonfiction,26.41,2
31-03-2026,Private Paris (Private #10),Fiction,47.61,5
31-03-2026,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5
31-03-2026,Without Borders (Wanderlove #1),New Adult,45.07,2
31-03-2026,When We Collided,Contemporary,31.77,1
31-03-2026,"We Love You, Charlie Freeman",Fiction,50.27,5
31-03-2026,Untitled Collection: Sabbath Poems 2014,Poetry,14.27,4
31-03-2026,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4
31-03-2026,Unicorn Tracks,Fantasy,18.78,3
31-03-2026,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,1
31-03-2026,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1
